experiment_id,learning_rate,epochs,country,pc1_score
exp_013,0.01,25,Poland,1.4569748756494758
exp_013,0.01,25,Hungary,1.4062900782668963
exp_013,0.01,25,Croatia,1.2916201748609941
exp_013,0.01,25,Greece,1.0054896238437907
exp_013,0.01,25,Slovakia,0.7759125354063348
exp_013,0.01,25,Portugal,0.5245071933216898
exp_013,0.01,25,Slovenia,0.1083925872436261
exp_013,0.01,25,Czech Republic,-0.1290773792748574
exp_013,0.01,25,Finland,-0.21377753587161485
exp_013,0.01,25,Spain,-0.22619013981724723
exp_013,0.01,25,United Kingdom,-0.37105819536249696
exp_013,0.01,25,Germany,-0.5736820564969335
exp_013,0.01,25,Belgium,-0.6694520497654555
exp_013,0.01,25,Italy,-0.8590033752943992
exp_013,0.01,25,Sweden,-0.8973386672672079
exp_013,0.01,25,Denmark,-0.9392201852480904
exp_013,0.01,25,Austria,-1.0697020415602245
exp_013,0.01,25,Iceland,-1.613125234978241
exp_013,0.01,25,Netherlands,-1.8206163391764587
exp_013,0.01,25,Ireland,-1.844691914006018
exp_013,0.01,25,Norway,-2.0869935424795023
exp_013,0.01,25,Switzerland,-3.2502207980807585
exp_013,0.01,25,Luxembourg,-3.5194183217659587
exp_014,0.01,50,Ukraine,4.553173124912882
exp_014,0.01,50,Bulgaria,2.6229450333000415
exp_014,0.01,50,Estonia,2.4986232689927226
exp_014,0.01,50,Latvia,2.31349868204487
exp_014,0.01,50,Lithuania,1.5351530301905822
exp_014,0.01,50,Poland,1.462890219486861
exp_014,0.01,50,Hungary,1.3994046404145541
exp_014,0.01,50,Croatia,1.271482562098683
exp_014,0.01,50,Greece,1.003570113133269
exp_014,0.01,50,Slovakia,0.7827253055252671
exp_014,0.01,50,Portugal,0.5285098805620172
exp_014,0.01,50,Slovenia,0.0796363995088678
exp_014,0.01,50,Czech Republic,-0.15786783903472612
exp_014,0.01,50,Spain,-0.19151722517958703
exp_014,0.01,50,Finland,-0.21420596598447322
exp_014,0.01,50,United Kingdom,-0.3491088526970527
exp_014,0.01,50,Germany,-0.5880426529105195
exp_014,0.01,50,Belgium,-0.6680518417279749
exp_014,0.01,50,Italy,-0.8564878647063185
exp_014,0.01,50,Sweden,-0.8922825183488814
exp_014,0.01,50,Denmark,-0.9479908608815539
exp_014,0.01,50,Austria,-1.0685036992350914
exp_014,0.01,50,Iceland,-1.584780411085411
exp_014,0.01,50,Ireland,-1.8229888718299359
exp_014,0.01,50,Netherlands,-1.8315884010850467
exp_014,0.01,50,Norway,-2.110183167363949
exp_014,0.01,50,Switzerland,-3.2814410149361057
exp_014,0.01,50,Luxembourg,-3.486571073163919
exp_015,0.01,100,Ukraine,4.598313005607661
exp_015,0.01,100,Bulgaria,2.6015527967608363
exp_015,0.01,100,Estonia,2.4986876321419795
exp_015,0.01,100,Latvia,2.317076538084891
exp_015,0.01,100,Lithuania,1.5414923712535251
exp_015,0.01,100,Poland,1.4667984211638356
exp_015,0.01,100,Hungary,1.3985525001377983
exp_015,0.01,100,Croatia,1.2532935756454313
exp_015,0.01,100,Greece,0.9765224624761497
exp_015,0.01,100,Slovakia,0.7946714200570344
exp_015,0.01,100,Portugal,0.5234972747601438
exp_015,0.01,100,Slovenia,0.055912784438788776
exp_015,0.01,100,Spain,-0.17375595117695397
exp_015,0.01,100,Czech Republic,-0.17662987362299687
exp_015,0.01,100,Finland,-0.22020236681574556
exp_015,0.01,100,United Kingdom,-0.3393698956600696
exp_015,0.01,100,Germany,-0.6070360686849636
exp_015,0.01,100,Belgium,-0.6706136858698579
exp_015,0.01,100,Italy,-0.8658400225567803
exp_015,0.01,100,Sweden,-0.896116184459412
exp_015,0.01,100,Denmark,-0.9509919015582808
exp_015,0.01,100,Austria,-1.0682128196834944
exp_015,0.01,100,Iceland,-1.5584343763484503
exp_015,0.01,100,Ireland,-1.7981102197042158
exp_015,0.01,100,Netherlands,-1.8410848767331682
exp_015,0.01,100,Norway,-2.1254236803434363
exp_015,0.01,100,Switzerland,-3.2943293933291393
exp_015,0.01,100,Luxembourg,-3.440219465981037
exp_016,0.01,500,Ukraine,4.584641990103223
exp_016,0.01,500,Bulgaria,2.609178807180033
exp_016,0.01,500,Estonia,2.487409425533455
exp_016,0.01,500,Latvia,2.3060114412674566
exp_016,0.01,500,Lithuania,1.529647176444265
exp_016,0.01,500,Poland,1.4720957960616696
exp_016,0.01,500,Hungary,1.396540897036925
exp_016,0.01,500,Croatia,1.2674804936479929
exp_016,0.01,500,Greece,0.9973765033369996
exp_016,0.01,500,Slovakia,0.7826533159864155
exp_016,0.01,500,Portugal,0.52536828332292
exp_016,0.01,500,Slovenia,0.06579425504843878
exp_016,0.01,500,Spain,-0.16392101118640767
exp_016,0.01,500,Czech Republic,-0.16793075952246606
exp_016,0.01,500,Finland,-0.20989866037419225
exp_016,0.01,500,United Kingdom,-0.34033676190145756
exp_016,0.01,500,Germany,-0.5915762459118399
exp_016,0.01,500,Belgium,-0.6809809889546589
exp_016,0.01,500,Italy,-0.8530824274281998
exp_016,0.01,500,Sweden,-0.8837855230015536
exp_016,0.01,500,Denmark,-0.9551716859347678
exp_016,0.01,500,Austria,-1.0806627895369685
exp_016,0.01,500,Iceland,-1.582216164324996
exp_016,0.01,500,Ireland,-1.8095177814449264
exp_016,0.01,500,Netherlands,-1.8402565303787872
exp_016,0.01,500,Norway,-2.1058965969869035
exp_016,0.01,500,Switzerland,-3.2821404463902413
exp_016,0.01,500,Luxembourg,-3.4768240116913565
exp_017,0.01,1000,Ukraine,4.58081806573475
exp_017,0.01,1000,Bulgaria,2.6097778663921245
exp_017,0.01,1000,Estonia,2.4876330621675167
exp_017,0.01,1000,Latvia,2.3060540937888634
exp_017,0.01,1000,Lithuania,1.5300552619536572
exp_017,0.01,1000,Poland,1.471832579031634
exp_017,0.01,1000,Hungary,1.39684753840435
