experiment_id,learning_rate,epochs,feature,pc1_weight,abs_weight
exp_016,0.01,500,Unemployment,0.2710773193158141,0.2710773193158141
exp_016,0.01,500,Military,0.18760703936269674,0.18760703936269674
exp_016,0.01,500,Area,0.1255090786753083,0.1255090786753083
exp_017,0.01,1000,GDP,-0.5005161631061423,0.5005161631061423
exp_017,0.01,1000,Life.expect,-0.48287886665190755,0.48287886665190755
exp_017,0.01,1000,Pop.growth,-0.4757019936779502,0.4757019936779502
exp_017,0.01,1000,Inflation,0.40656679857458833,0.40656679857458833
exp_017,0.01,1000,Unemployment,0.27157168995336345,0.27157168995336345
exp_017,0.01,1000,Military,0.18801826271738467,0.18801826271738467
exp_017,0.01,1000,Area,0.1249822876199629,0.1249822876199629
exp_018,0.01,3000,GDP,-0.5005016322255207,0.5005016322255207
exp_018,0.01,3000,Life.expect,-0.4828814579383784,0.4828814579383784
exp_018,0.01,3000,Pop.growth,-0.47570353746218025,0.47570353746218025
exp_018,0.01,3000,Inflation,0.4065553702660402,0.4065553702660402
exp_018,0.01,3000,Unemployment,0.27160199171530425,0.27160199171530425
exp_018,0.01,3000,Military,0.1880574184001957,0.1880574184001957
exp_018,0.01,3000,Area,0.1249370023397409,0.1249370023397409
exp_019,0.05,25,Pop.growth,-0.5881690409498654,0.5881690409498654
exp_019,0.05,25,GDP,-0.49694966928545004,0.49694966928545004
exp_019,0.05,25,Life.expect,-0.45502973037020233,0.45502973037020233
exp_019,0.05,25,Military,0.3367644048329067,0.3367644048329067
exp_019,0.05,25,Inflation,0.21965689000264715,0.21965689000264715
exp_019,0.05,25,Unemployment,0.1956190368883359,0.1956190368883359
exp_019,0.05,25,Area,0.01095119460156464,0.01095119460156464
exp_020,0.05,50,Pop.growth,-0.5393627646928458,0.5393627646928458
exp_020,0.05,50,Inflation,0.44891040119206743,0.44891040119206743
exp_020,0.05,50,GDP,-0.4391155758952897,0.4391155758952897
exp_020,0.05,50,Life.expect,-0.4186435080693145,0.4186435080693145
exp_020,0.05,50,Unemployment,0.32229324796230774,0.32229324796230774
exp_020,0.05,50,Military,0.1787754295359343,0.1787754295359343
exp_020,0.05,50,Area,0.06040523184444655,0.06040523184444655
exp_021,0.05,100,Inflation,0.49875127371803113,0.49875127371803113
exp_021,0.05,100,Life.expect,-0.4870916342008358,0.4870916342008358
exp_021,0.05,100,GDP,-0.47564577819585985,0.47564577819585985
exp_021,0.05,100,Pop.growth,-0.42371044511837175,0.42371044511837175
exp_021,0.05,100,Unemployment,0.31807386508146884,0.31807386508146884
exp_021,0.05,100,Military,0.08331291891250935,0.08331291891250935
exp_021,0.05,100,Area,0.010364995545598677,0.010364995545598677
exp_022,0.05,500,GDP,-0.5014925356927242,0.5014925356927242
exp_022,0.05,500,Life.expect,-0.4829480225945893,0.4829480225945893
exp_022,0.05,500,Pop.growth,-0.47718044045537117,0.47718044045537117
exp_022,0.05,500,Inflation,0.4042969398176598,0.4042969398176598
exp_022,0.05,500,Unemployment,0.27123343410525913,0.27123343410525913
exp_022,0.05,500,Military,0.18913387223679634,0.18913387223679634
exp_022,0.05,500,Area,0.12153212914095884,0.12153212914095884
exp_023,0.05,1000,GDP,-0.5006304825875691,0.5006304825875691
exp_023,0.05,1000,Life.expect,-0.48288601259711245,0.48288601259711245
exp_023,0.05,1000,Pop.growth,-0.4758337480859768,0.4758337480859768
exp_023,0.05,1000,Inflation,0.406426463508596,0.406426463508596
exp_023,0.05,1000,Unemployment,0.2713056464302776,0.2713056464302776
exp_023,0.05,1000,Military,0.18793427344853178,0.18793427344853178
exp_023,0.05,1000,Area,0.12515569408927382,0.12515569408927382
exp_024,0.05,3000,GDP,-0.5004879875054747,0.5004879875054747
exp_024,0.05,3000,Life.expect,-0.48289273899654583,0.48289273899654583
exp_024,0.05,3000,Pop.growth,-0.47570360951716395,0.47570360951716395
exp_024,0.05,3000,Inflation,0.4065795947288614,0.4065795947288614
exp_024,0.05,3000,Unemployment,0.2715715970472726,0.2715715970472726
exp_024,0.05,3000,Military,0.18804118241947054,0.18804118241947054
exp_024,0.05,3000,Area,0.1249594631113277,0.1249594631113277
exp_025,0.1,25,Pop.growth,0.6141123962434107,0.6141123962434107
exp_025,0.1,25,Life.expect,0.4645201400200416,0.4645201400200416
exp_025,0.1,25,GDP,0.4422148750619879,0.4422148750619879
exp_025,0.1,25,Military,-0.41388623672050695,0.41388623672050695
exp_025,0.1,25,Inflation,-0.1769233497413001,0.1769233497413001
exp_025,0.1,25,Area,0.07049223516591852,0.07049223516591852
exp_025,0.1,25,Unemployment,-0.06292983966938477,0.06292983966938477
exp_026,0.1,50,Inflation,-0.5326809987661254,0.5326809987661254
exp_026,0.1,50,Pop.growth,0.5080065610619597,0.5080065610619597
exp_026,0.1,50,Unemployment,-0.4333360665408663,0.4333360665408663
exp_026,0.1,50,Life.expect,0.3692676095322492,0.3692676095322492
exp_026,0.1,50,GDP,0.3488265082585719,0.3488265082585719
exp_026,0.1,50,Military,-0.10154682093029826,0.10154682093029826
exp_026,0.1,50,Area,-0.04527564192626549,0.04527564192626549
exp_027,0.1,100,Inflation,-0.5235748184685379,0.5235748184685379
exp_027,0.1,100,Life.expect,0.46104510740313054,0.46104510740313054
exp_027,0.1,100,GDP,0.4540132908673855,0.4540132908673855
exp_027,0.1,100,Unemployment,-0.3950581976381416,0.3950581976381416
exp_027,0.1,100,Pop.growth,0.33490507974893274,0.33490507974893274
exp_027,0.1,100,Area,0.1946795499203778,0.1946795499203778
exp_027,0.1,100,Military,0.03234549429369562,0.03234549429369562
exp_028,0.1,500,GDP,0.507115044284345,0.507115044284345
exp_028,0.1,500,Pop.growth,0.48067039413018087,0.48067039413018087
exp_028,0.1,500,Life.expect,0.4763701793524705,0.4763701793524705
exp_028,0.1,500,Inflation,-0.3934088317785426,0.3934088317785426
exp_028,0.1,500,Unemployment,-0.2826577800673349,0.2826577800673349
exp_028,0.1,500,Military,-0.1974843642039846,0.1974843642039846
exp_028,0.1,500,Area,-0.10580998361173316,0.10580998361173316
exp_029,0.1,1000,GDP,0.5008478585617574,0.5008478585617574
exp_029,0.1,1000,Life.expect,0.48293016262334604,0.48293016262334604
exp_029,0.1,1000,Pop.growth,0.47603528774449727,0.47603528774449727
exp_029,0.1,1000,Inflation,-0.40608416028738215,0.40608416028738215
exp_029,0.1,1000,Unemployment,-0.2709243167457469,0.2709243167457469
exp_029,0.1,1000,Military,-0.18792701084218033,0.18792701084218033
exp_029,0.1,1000,Area,-0.12529722016137906,0.12529722016137906
exp_030,0.1,3000,GDP,0.5004818877229117,0.5004818877229117
exp_030,0.1,3000,Life.expect,0.48289515837475094,0.48289515837475094
exp_030,0.1,3000,Pop.growth,0.4757007965734673,0.4757007965734673
exp_030,0.1,3000,Inflation,-0.4065874315288183,0.4065874315288183
exp_030,0.1,3000,Unemployment,-0.271573116820961,0.271573116820961
exp_030,0.1,3000,Military,-0.1880354161399568,0.1880354161399568
exp_030,0.1,3000,Area,-0.12496512809149635,0.12496512809149635
